Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1µF/12V,C15849
C2,0603,1,2.2µF/16V,C23630
C3,0603,1,100nF/50V,C14663
CN1,CONN-SMD_4P-P1.00_SHOU-HAN_1.0-4P-WT,1,1.0-4P WT,C2906270
H1,HDR-SMD_24P-P2.54-V-F-R2-C12-S7.4,1,MYND_Main_PCB,C3294470
H2,2x40_2.54mm_Female_SMT_Vertical,1,RPi,C5345531
H3,HDR-SMD_3P-P2.54-H-M_KH-2.54PH-1X3P-L13.5-WT,1,HX_PZ2.54-1X3P_WT,C46061676
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3400A,C20917
Q2,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3401A,C15127
"R1, R3, R4, R5, R6, R7",0603,6,0R,C21189
"R12, R9",0603,2,100k,C25803
R8,0603,1,470,C23179
U1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,TPS70933DBVR,C89347
U2,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,CH340N,C2977777
