Designator,Mid X,Mid Y,Rotation,Layer
C1,-36.379,12.574,180.0,top
C2,-36.392,18.035,180.0,top
C3,-49.219,11.558,90.0,top
CN1,-35.63,33.551,180.0,top
H1,-62.3,13.59,270.0,top
H2,-22.69,7.05,180.0,top
H3,-41.9835,27.047,90.0,top
Q1,-39.694,16.511,270.0,top
Q2,-43.575201,15.857696,90.0,top
R1,-37.281,19.686,0.0,top
R12,-39.827701,13.59,180.0,top
R3,-54.426,3.684,270.0,top
R4,-52.902,3.684,270.0,top
R5,-12.516,23.496,180.0,top
R6,-11.5,32.069,270.0,top
R7,-9.595,32.069,270.0,top
R8,-42.234,12.955,270.0,top
R9,-43.575201,19.032696,180.0,top
U1,-36.199,15.368,270.0,top
U2,-52.516,9.666,0.0,top
